,period_open,period_close,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,returns,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,BATBC,short_mavg,long_mavg
2015-04-27 08:29:00+00:00,2015-04-27 04:01:00+00:00,2015-04-27 08:29:00+00:00,25810.5,26084.000000000004,9973457.13525,9973457.13525,9999541.13525,2.735200316439368e-05,1,0,26084.000000000004,0.0,26084.000000000004,273.5,0.0,0.0,[],[],0.0026085196957738076,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 260.84000000000003}]",0.0026085196957738076,25810.5,26084.000000000004,-0.5335210507826796,-0.8603775621578665,-7.323647499973162e-05,0.00265295354560609,0.0,0.0,317,2015-04,-4.588647499970122e-05,6.836858800756945e-05,0.0,0.0,,,260.84000000000003,248.70945000000003,219.35347999999993
2015-04-29 08:29:00+00:00,2015-04-29 04:01:00+00:00,2015-04-29 08:29:00+00:00,26084.000000000004,25873.9,9973457.13525,9973457.13525,9999331.03525,-2.1010964118994835e-05,1,0,25873.9,0.0,25873.9,-210.09999999962747,0.0,0.0,[],[],0.002587563098850153,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 258.73900000000003}]",0.002587563098850153,26084.000000000004,25873.9,-0.7493558643686488,-1.1455283241903558,-7.323647499973162e-05,0.00265295354560609,0.0,0.0,318,2015-04,-6.689647499957818e-05,7.07428563104889e-05,0.0,0.0,,,258.73900000000003,248.9561500000001,219.73161
2015-04-30 08:29:00+00:00,2015-04-30 04:01:00+00:00,2015-04-30 08:29:00+00:00,25873.9,27021.899999999998,9973457.13525,9973457.13525,10000479.03525,0.00011480768022908983,1,0,27021.899999999998,0.0,27021.899999999998,1148.0,0.0,0.0,[],[],0.002702060561774327,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 270.219}]",0.002702060561774327,25873.9,27021.899999999998,0.30460684597502924,0.8191664902463409,-7.323647499973162e-05,0.002702060561774327,0.0,0.0,319,2015-04,4.790352500050332e-05,0.0001242554956965586,0.0,0.0,,,270.219,249.34475000000006,220.12034333333324
2015-05-04 08:29:00+00:00,2015-05-04 04:01:00+00:00,2015-05-04 08:29:00+00:00,27021.899999999998,26847.399999999998,9973457.13525,9973457.13525,10000304.53525,-1.7449164123384264e-05,1,0,26847.399999999998,0.0,26847.399999999998,-174.5,0.0,0.0,[],[],0.0026846582426930895,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 268.474}]",0.0026846582426930895,27021.899999999998,26847.399999999998,0.19185557772746858,0.492988495024488,-7.323647499973162e-05,0.002702060561774327,0.0,0.0,320,2015-05,3.0453525000639914e-05,0.0001250397815791273,0.0,0.0,,,268.474,249.7264700000001,220.48052999999996
2015-05-05 08:29:00+00:00,2015-05-05 04:01:00+00:00,2015-05-05 08:29:00+00:00,26847.399999999998,26398.399999999998,9973457.13525,9973457.13525,9999855.53525,-4.4898632678314065e-05,1,0,26398.399999999998,0.0,26398.399999999998,-449.0,0.0,0.0,[],[],0.002639878136933508,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 263.984}]",0.002639878136933508,26847.399999999998,26398.399999999998,-0.08647279993391802,-0.18047281841820448,-7.323647499973162e-05,0.002702060561774327,0.0,0.0,321,2015-05,-1.4446474999263437e-05,0.00013105484137131146,0.0,0.0,,,263.984,250.06329000000005,220.82671999999997
2015-05-06 08:29:00+00:00,2015-05-06 04:01:00+00:00,2015-05-06 08:29:00+00:00,26398.399999999998,25827.0,9973457.13525,9973457.13525,9999284.13525,-5.714082548358146e-05,1,0,25827.0,0.0,25827.0,-571.4000000003725,0.0,0.0,[],[],0.002582884899625295,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 258.27}]",0.002582884899625295,26398.399999999998,25827.0,-0.39937281823304177,-0.6955384901767422,-0.00011948427628185506,0.002702060561774327,0.0,0.0,322,2015-05,-7.158647499938553e-05,0.00014026090100668226,0.0,0.0,,,258.27,250.33441000000002,221.15405666666663
2015-05-07 08:29:00+00:00,2015-05-07 04:01:00+00:00,2015-05-07 08:29:00+00:00,25827.0,26005.9,9973457.13525,9973457.13525,9999463.03525,1.7891280773785212e-05,1,0,26005.9,0.0,26005.9,178.90000000037253,0.0,0.0,[],[],0.0026007296500146337,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 260.059}]",0.0026007296500146337,25827.0,26005.9,-0.29714993077932056,-0.5208733236898486,-0.00011948427628185506,0.002702060561774327,0.0,0.0,323,2015-05,-5.369647499930963e-05,0.0001409539063047459,0.0,0.0,,,260.059,250.61692000000005,221.47715666666662
2015-05-10 08:29:00+00:00,2015-05-10 04:01:00+00:00,2015-05-10 08:29:00+00:00,26005.9,25919.9,9973457.13525,9973457.13525,9999377.03525,-8.600461814500804e-06,1,0,25919.9,0.0,25919.9,-86.0,0.0,0.0,[],[],0.0025921514818999882,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 259.199}]",0.0025921514818999882,26005.9,25919.9,-0.34374327673768423,-0.6007101244901737,-0.00011948427628185506,0.002702060561774327,0.0,0.0,324,2015-05,-6.229647499933488e-05,0.0001409319741915234,0.0,0.0,,,259.199,250.87903000000003,221.76975333333326
2015-05-11 08:29:00+00:00,2015-05-11 04:01:00+00:00,2015-05-11 08:29:00+00:00,25919.9,25506.5,9973457.13525,9973457.13525,9998963.63525,-4.1342575496705614e-05,1,0,25506.5,0.0,25506.5,-413.40000000037253,0.0,0.0,[],[],0.002550914367773103,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 255.065}]",0.002550914367773103,25919.9,25506.5,-0.5529872009972656,-0.9092835828679774,-0.00015153274104736322,0.002702060561774327,0.0,0.0,325,2015-05,-0.0001036364749993357,0.00014530491069551682,0.0,0.0,,,255.065,251.08474,222.03761999999992
2015-05-12 08:29:00+00:00,2015-05-12 04:01:00+00:00,2015-05-12 08:29:00+00:00,25506.5,25440.5,9973457.13525,9973457.13525,9998897.63525,-6.600684071655927e-06,1,0,25440.5,0.0,25440.5,-66.0,0.0,0.0,[],[],0.0025443304780231324,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 254.405}]",0.0025443304780231324,25506.5,25440.5,-0.5868849769741,-0.963634375003853,-0.00015813242489934822,0.002702060561774327,0.0,0.0,326,2015-05,-0.00011023647499941447,0.0001451862813045131,0.0,0.0,,,254.405,251.26819000000003,222.30256333333324
2015-05-13 08:29:00+00:00,2015-05-13 04:01:00+00:00,2015-05-13 08:29:00+00:00,25440.5,25279.9,9973457.13525,9973457.13525,9998737.03525,-1.6061770592989966e-05,1,0,25279.9,0.0,25279.9,-160.59999999962747,0.0,0.0,[],[],0.0025283093165543906,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 252.799}]",0.0025283093165543906,25440.5,25279.9,-0.668352887916753,-1.0885639416128956,-0.00017419165560554194,0.002702060561774327,0.0,0.0,327,2015-05,-0.0001262964749993989,0.00014561910860252957,0.0,0.0,,,252.799,251.44448000000003,222.5665333333332
2015-05-14 08:29:00+00:00,2015-05-14 04:01:00+00:00,2015-05-14 08:29:00+00:00,25279.9,25085.4,9973457.13525,9973457.13525,9998542.53525,-1.945245677670293e-05,1,0,25085.4,0.0,25085.4,-194.5,0.0,0.0,[],[],0.002508905664156658,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 250.854}]",0.002508905664156658,25279.9,25085.4,-0.7650883092588088,-1.2320465586082197,-0.0001936407239266744,0.002702060561774327,0.0,0.0,328,2015-05,-0.00014574647499943083,0.00014635357540804296,0.0,0.0,,,250.854,251.65256000000002,222.82795666666658
2015-05-17 08:29:00+00:00,2015-05-17 04:01:00+00:00,2015-05-17 08:29:00+00:00,25085.4,24922.1,9973457.13525,9973457.13525,9998379.23525,-1.633238038689644e-05,1,0,24922.1,0.0,24922.1,-163.30000000074506,0.0,0.0,[],[],0.0024926139940896976,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 249.221}]",0.0024926139940896976,25085.4,24922.1,-0.8457159828330854,-1.3513673668723616,-0.00020996994169956477,0.002702060561774327,0.0,0.0,329,2015-05,-0.00016207647499943967,0.00014679038324259447,0.0,0.0,,,249.221,251.85637999999994,223.08534999999995
2015-05-18 08:29:00+00:00,2015-05-18 04:01:00+00:00,2015-05-18 08:29:00+00:00,24922.1,24756.2,9973457.13525,9973457.13525,9998213.33525,-1.659268928466684e-05,1,0,24756.2,0.0,24756.2,-165.90000000037253,0.0,0.0,[],[],0.0024760623893389836,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 247.562}]",0.0024760623893389836,24922.1,24756.2,-0.9266284970975818,-1.4692129806328138,-0.00022655914701833147,0.002702060561774327,0.0,0.0,330,2015-05,-0.0001786664749995337,0.0001472408454327904,0.0,0.0,,,247.562,252.06354,223.3425366666666
2015-05-19 08:29:00+00:00,2015-05-19 04:01:00+00:00,2015-05-19 08:29:00+00:00,24756.2,24878.7,9973457.13525,9973457.13525,9998335.83525,1.2252189055539375e-05,1,0,24878.7,0.0,24878.7,122.5,0.0,0.0,[],[],0.0024882840914673006,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 248.787}]",0.0024882840914673006,24756.2,24878.7,-0.859310567843496,-1.3663928537877168,-0.00022655914701833147,0.002702060561774327,0.0,0.0,331,2015-05,-0.00016641647499937573,0.0001474407733355273,0.0,0.0,,,248.787,252.28448999999998,223.59681999999995
2015-05-20 08:29:00+00:00,2015-05-20 04:01:00+00:00,2015-05-20 08:29:00+00:00,24878.7,24645.9,9973457.13525,9973457.13525,9998103.03525,-2.3283874820312356e-05,1,0,24645.9,0.0,24645.9,-232.7999999988824,0.0,0.0,[],[],0.0024650576127398086,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 246.459}]",0.0024650576127398086,24878.7,24645.9,-0.9692988046483924,-1.5191845290120385,-0.00023758861866748156,0.002702060561774327,0.0,0.0,332,2015-05,-0.00018969647499933462,0.00014854975351596684,0.0,0.0,,,246.459,252.48557999999997,223.85459999999998
2015-05-21 08:29:00+00:00,2015-05-21 04:01:00+00:00,2015-05-21 08:29:00+00:00,24645.9,24758.0,9973457.13525,9973457.13525,9998215.13525,1.1212126900916886e-05,1,0,24758.0,0.0,24758.0,112.09999999962747,0.0,0.0,[],[],0.0024762419757014898,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 247.58}]",0.0024762419757014898,24645.9,24758.0,-0.9084756681117369,-1.4272459740568626,-0.00023758861866748156,0.002702060561774327,0.0,0.0,333,2015-05,-0.0001784864749994064,0.00014867965182762297,0.0,0.0,,,247.58,252.70892,224.12251999999998
2015-05-24 08:29:00+00:00,2015-05-24 04:01:00+00:00,2015-05-24 08:29:00+00:00,24758.0,24816.1,9973457.13525,9973457.13525,9998273.23525,5.811037191438828e-06,1,0,24816.1,0.0,24816.1,58.09999999962747,0.0,0.0,[],[],0.0024820385896744787,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 248.161}]",0.0024820385896744787,24758.0,24816.1,-0.8769811108161468,-1.3787104629164721,-0.00023758861866748156,0.002702060561774327,0.0,0.0,334,2015-05,-0.00017267647499952243,0.00014855857478713756,0.0,0.0,,,248.161,252.94404999999998,224.38028999999995
2015-05-25 08:29:00+00:00,2015-05-25 04:01:00+00:00,2015-05-25 08:29:00+00:00,24816.1,25068.899999999998,9973457.13525,9973457.13525,9998526.03525,2.528436601534345e-05,1,0,25068.899999999998,0.0,25068.899999999998,252.80000000074506,0.0,0.0,[],[],0.0025072595612212335,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 250.689}]",0.0025072595612212335,24816.1,25068.899999999998,-0.7390904692254181,-1.1750736362938352,-0.00023758861866748156,0.002702060561774327,0.0,0.0,335,2015-05,-0.000147396474999395,0.00015001448751560814,0.0,0.0,,,250.689,253.20352,224.6472899999999
2015-05-26 08:29:00+00:00,2015-05-26 04:01:00+00:00,2015-05-26 08:29:00+00:00,25068.899999999998,25114.0,9973457.13525,9973457.13525,9998571.13525,4.510664856072211e-06,1,0,25114.0,0.0,25114.0,45.09999999962747,0.0,0.0,[],[],0.002511758896374753,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 251.14000000000001}]",0.002511758896374753,25068.899999999998,25114.0,-0.715115351465171,-1.1374163633268988,-0.00023758861866748156,0.002702060561774327,0.0,0.0,336,2015-05,-0.0001428864749993819,0.00014985176326695325,0.0,0.0,,,251.14000000000001,253.48811999999998,224.9000499999999
2015-05-27 08:29:00+00:00,2015-05-27 04:01:00+00:00,2015-05-27 08:29:00+00:00,25114.0,25610.8,9973457.13525,9973457.13525,9999067.935250001,4.9687099614503794e-05,1,0,25610.8,0.0,25610.8,496.80000000074506,0.0,0.0,[],[],0.0025613187314903136,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 256.108}]",0.0025613187314903136,25114.0,25610.8,-0.4473602245669202,-0.7407784639120152,-0.00023758861866748156,0.002702060561774327,0.0,0.0,337,2015-05,-9.320647499944101e-05,0.00015577729394439854,0.0,0.0,,,256.108,253.83077999999998,225.17114333333322
2015-05-28 08:29:00+00:00,2015-05-28 04:01:00+00:00,2015-05-28 08:29:00+00:00,25610.8,25292.0,9973457.13525,9973457.13525,9998749.13525,-3.188297169942622e-05,1,0,25292.0,0.0,25292.0,-318.80000000074506,0.0,0.0,[],[],0.0025295164082909678,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 252.92000000000002}]",0.0025295164082909678,25610.8,25292.0,-0.5905012530921767,-0.9526661150466897,-0.00023758861866748156,0.002702060561774327,0.0,0.0,338,2015-05,-0.00012508647499942516,0.00015792197192249452,0.0,0.0,,,252.92000000000002,254.09271999999999,225.43113666666653
2015-05-31 08:29:00+00:00,2015-05-31 04:01:00+00:00,2015-05-31 08:29:00+00:00,25292.0,24836.100000000002,9973457.13525,9973457.13525,9998293.23525,-4.559570340589847e-05,1,0,24836.100000000002,0.0,24836.100000000002,-455.90000000037253,0.0,0.0,[],[],0.0024840339661611247,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 248.36100000000002}]",0.0024840339661611247,25292.0,24836.100000000002,-0.7810513548440443,-1.2042759263772544,-0.00023758861866748156,0.002702060561774327,0.0,0.0,339,2015-05,-0.00017067647499946492,0.00016243770626845483,0.0,0.0,,,248.36100000000002,254.29990999999998,225.64945999999986
2015-06-01 08:29:00+00:00,2015-06-01 04:01:00+00:00,2015-06-01 08:29:00+00:00,24836.100000000002,25547.4,9973457.13525,9973457.13525,9999004.53525,7.114214229009264e-05,1,0,25547.4,0.0,25547.4,711.3000000007451,0.0,0.0,[],[],0.0025549943406802597,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 255.47400000000002}]",0.0025549943406802597,24836.100000000002,25547.4,-0.42511442438319164,-0.7012613001433761,-0.00023758861866748156,0.002702060561774327,0.0,0.0,340,2015-06,-9.954647499943459e-05,0.0001735301154070934,0.0,0.0,,,255.47400000000002,254.59961999999996,225.86371999999983
2015-06-02 08:29:00+00:00,2015-06-02 04:01:00+00:00,2015-06-02 08:29:00+00:00,25547.4,25581.2,9973457.13525,9973457.13525,9999038.33525,3.38033650049141e-06,1,0,25581.2,0.0,25581.2,33.79999999888241,0.0,0.0,[],[],0.002558366029042773,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 255.812}]",0.002558366029042773,25547.4,25581.2,-0.4100075313707264,-0.6764505969454184,-0.00023758861866748156,0.002702060561774327,0.0,0.0,341,2015-06,-9.616647499954833e-05,0.00017330350380211166,0.0,0.0,,,255.812,254.86814999999999,226.08437333333316
2015-06-04 08:29:00+00:00,2015-06-04 04:01:00+00:00,2015-06-04 08:29:00+00:00,25581.2,25531.7,9973457.13525,9973457.13525,9998988.83525,-4.950476069853771e-06,1,0,25531.7,0.0,25531.7,-49.5,0.0,0.0,[],[],0.0025534281936581086,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 255.317}]",0.0025534281936581086,25581.2,25531.7,-0.4303731285880681,-0.7096558995802661,-0.00023758861866748156,0.002702060561774327,0.0,0.0,342,2015-06,-0.0001011164749995519,0.00017309560171367602,0.0,0.0,,,255.317,255.13103999999998,226.33306333333317
2015-06-07 08:29:00+00:00,2015-06-07 04:01:00+00:00,2015-06-07 08:29:00+00:00,25531.7,25468.3,9973457.13525,9973457.13525,9998925.435250001,-6.340641143132153e-06,1,0,25468.3,0.0,25468.3,-63.399999998509884,0.0,0.0,[],[],0.0025471037027853605,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 254.683}]",0.0025471037027853605,25531.7,25468.3,-0.45649397061066316,-0.7520521334374854,-0.00023758861866748156,0.002702060561774327,0.0,0.0,343,2015-06,-0.00010745647499943445,0.0001729199997084129,0.0,0.0,,,254.683,255.34499,226.6008466666665
2015-06-08 08:29:00+00:00,2015-06-08 04:01:00+00:00,2015-06-08 08:29:00+00:00,25468.3,25301.6,9973457.13525,9973457.13525,9998758.73525,-1.6671791492006705e-05,1,0,25301.6,0.0,25301.6,-166.7000000011176,0.0,0.0,[],[],0.0025304740988299664,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 253.016}]",0.0025304740988299664,25468.3,25301.6,-0.5248408212547004,-0.8595550040840135,-0.00023758861866748156,0.002702060561774327,0.0,0.0,344,2015-06,-0.00012412647499948637,0.0001732344785314953,0.0,0.0,,,253.016,255.56579999999997,226.86393333333325
2015-06-09 08:29:00+00:00,2015-06-09 04:01:00+00:00,2015-06-09 08:29:00+00:00,25301.6,25257.3,9973457.13525,9973457.13525,9998714.435250001,-4.43054994847536e-06,1,0,25257.3,0.0,25257.3,-44.29999999888241,0.0,0.0,[],[],0.0025260547406931204,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 252.573}]",0.0025260547406931204,25301.6,25257.3,-0.5426805619077174,-0.8883771295532297,-0.00023758861866748156,0.002702060561774327,0.0,0.0,345,2015-06,-0.00012855647499943057,0.0001730174666363819,0.0,0.0,,,252.573,255.69397999999998,227.1148166666666
2015-06-10 08:29:00+00:00,2015-06-10 04:01:00+00:00,2015-06-10 08:29:00+00:00,25257.3,26001.5,9973457.13525,9973457.13525,9999458.63525,7.442956840297832e-05,1,0,26001.5,0.0,26001.5,744.1999999992549,0.0,0.0,[],[],0.002600290770576294,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 260.015}]",0.002600290770576294,25257.3,26001.5,-0.21398800150975733,-0.373449152007496,-0.00023758861866748156,0.002702060561774327,0.0,0.0,346,2015-06,-5.41364749994111e-05,0.00018418336287095828,0.0,0.0,,,260.015,255.89872,227.3851566666666
2015-06-11 08:29:00+00:00,2015-06-11 04:01:00+00:00,2015-06-11 08:29:00+00:00,26001.5,25620.300000000003,9973457.13525,9973457.13525,9999077.435250001,-3.812206379405492e-05,1,0,25620.300000000003,0.0,25620.300000000003,-381.19999999925494,0.0,0.0,[],[],0.0025622663856647524,"[{'sid': Equity(16 [BATBC]), 'amount': 100, 'cost_basis': 265.4286475, 'last_sale_price': 256.20300000000003}]",0.0025622663856647524,26001.5,25620.300000000003,-0.35870321513021575,-0.6074080435548613,-0.00023758861866748156,0.002702060561774327,0.0,0.0,347,2015-06,-9.225647499933043e-05,0.00018674110581567112,0.0,0.0,,,256.20300000000003,256.01957000000004,227.65182666666655
